en,be
2024-09-26 18:12:40.463769,2024-09-26 18:12:40.463769
"""""",""""""
"""Power Statistics""","""Статыстыка сілкавання"""
"""Observe power management""","""Назіранне за кіраваннем энергаспажывання"""
"""battery;consumption;charge;""","""батарэя;акумулятар;энергія;зарад;зарадка;спажыванне;ашчаджанне;"""
"""GNOME Power Statistics""","""Статыстыка энергаспажывання GNOME"""
"""""","""Power Statistics can show historical and current battery information and """
"""""","""You probably only need to install this application if you are having """
"""Whether we should show the history data points""","""Ці трэба паказваць пункты даных гісторыі"""
"""""","""Whether we should show the history data points in the statistics window."""
"""Whether we should smooth the history data""","""Ці трэба згладжваць даныя гісторыі на графіку"""
"""Whether we should smooth the history data in the graph.""","""Ці трэба згладжваць графік даных гісторыі на графіку."""
"""The default graph type to show for history""","""Прадвызначаны тып графіка для паказу гісторыі"""
"""The default graph type to show in the history window.""","""Прадвызначаны тып графіка для паказу ў акне гісторыі."""
"""The maximum time displayed for history""","""Максімальны час для паказу ў гісторыі"""
"""""","""The maximum duration of time displayed on the x-axis of the history graph."""
"""Whether we should show the stats data points""","""Ці трэба паказваць пункты даных статыстыкі"""
"""""","""Whether we should show the stats data points in the statistics window."""
"""Whether we should smooth the stats data""","""Ці трэба згладжваць графік даных статыстыкі"""
"""Whether we should smooth the stats data in the graph.""","""Ці трэба згладжваць графік даных статыстыкі."""
"""The default graph type to show for stats""","""Прадвызначаны тып графіка для паказу статыстыкі"""
"""The default graph type to show in the stats window.""","""Прадвызначаны тып графіка для паказу ў акне статыстыкі."""
"""The index of the page number to show by default""","""Індэкс нумара старонкі для прадвызначанага паказу"""
"""""","""The index of the page number to show by default which is used to return """
"""The ID of the last device selected""","""Ідэнтыфікатар апошняй выбранай прылады"""
"""""","""The identifier of the last device which is used to return focus to the """
"""%id""","""%iдз"""
"""%id%02ih""","""%iдз%02iг"""
"""%ih""","""%iг"""
"""%ih%02im""","""%iг%02iхв"""
"""%2im""","""%2iхв"""
"""%2im%02i""","""%2iхв%02iс"""
"""%.0fms""","""%.0fмс"""
"""%2is""","""%2iс"""
"""%i%%""","""%i%%"""
"""%.1fW""","""%.1fВт"""
"""%.1fV""","""%.1fВ"""
"""%.0f nm""","""%.0f нм"""
"""Rate""","""Магутнасць"""
"""Charge""","""Зарад"""
"""Time to full""","""Час да поўнай зарадкі"""
"""Time to empty""","""Час да поўнай разрадкі"""
"""30 minutes""","""30 хвілін"""
"""3 hours""","""3 гадзіны"""
"""8 hours""","""8 гадзін"""
"""1 day""","""1 дзень"""
"""1 week""","""1 тыдзень"""
"""Charge profile""","""Профіль зараду"""
"""Discharge profile""","""Профіль разрадкі"""
"""Charge accuracy""","""Дакладнасць вызначэння часу зараду"""
"""Discharge accuracy""","""Дакладнасць разліку разрадкі"""
"""AC adapter""","""AC adapters"""
"""AC adapters""","""Блок сілкавання"""
"""Laptop battery""","""Laptop batteries"""
"""Laptop batteries""","""Акумулятар ноўтбука"""
"""UPS""","""UPSs"""
"""UPSs""",""""""
"""Monitor""","""Monitors"""
"""Monitors""","""Манітор"""
"""Mouse""","""Mice"""
"""Mice""","""Мыш"""
"""Keyboard""","""Keyboards"""
"""Keyboards""","""Клавіятура"""
"""PDA""","""PDAs"""
"""PDAs""",""""""
"""Cell phone""","""Cell phones"""
"""Cell phones""","""Мабільны тэлефон"""
"""Media player""","""Media players"""
"""Media players""","""Медыяплэер"""
"""Tablet""","""Tablets"""
"""Tablets""","""Планшэт"""
"""Computer""","""Computers"""
"""Computers""","""Камп'ютар"""
"""Lithium Ion""","""Літый-іонная"""
"""Lithium Polymer""","""Літый-палімерная"""
"""Lithium Iron Phosphate""","""Літый-жалеза-фасфатная"""
"""Lead acid""","""Свінцова-кіслотная"""
"""Nickel Cadmium""","""Нікель-кадміевая"""
"""Nickel metal hydride""","""Нікель-метал-гідрыдная"""
"""Unknown technology""","""Невядомая тэхналогія"""
"""Charging""","""Зараджаецца"""
"""Discharging""","""Разраджаецца"""
"""Empty""","""Разраджана"""
"""Charged""","""Зараджана"""
"""Waiting to charge""","""У чаканні зарадкі"""
"""Waiting to discharge""","""У чаканні разрадкі"""
"""Unknown""","""Невядома"""
"""Attribute""","""Атрыбут"""
"""Value""","""Значэнне"""
"""Image""","""Відарыс"""
"""Description""","""Апісанне"""
"""%.0f second""","""%.0f seconds"""
"""%.0f seconds""","""%.0f секунда"""
"""%.1f minute""","""%.1f minutes"""
"""%.1f minutes""","""%.1f хвіліна"""
"""%.1f hour""","""%.1f hours"""
"""%.1f hours""","""%.1f гадзіна"""
"""%.1f day""","""%.1f days"""
"""%.1f days""","""%.1f дзень"""
"""Yes""","""Так"""
"""No""","""Не"""
"""Device""","""Прылада"""
"""Type""","""Тып"""
"""Vendor""","""Пастаўшчык"""
"""Model""","""Мадэль"""
"""Serial number""","""Серыйны нумар"""
"""Supply""","""Крыніца энергіі"""
"""%u second""","""%u seconds"""
"""%u seconds""",""""""
"""Refreshed""","""Абноўлена"""
"""Present""","""Прысутнічае"""
"""Rechargeable""","""Перазараджаемы"""
"""State""","""Стан"""
"""Energy""","""Энергія"""
"""Energy when empty""","""Энергія пры разрадцы"""
"""Energy when full""","""Энергія пры поўнай зарадцы"""
"""Energy (design)""","""Энергія (пачатковая)"""
"""Voltage""","""Напружанне"""
"""Percentage""","""Працэнт"""
"""Capacity""","""Ёмістасць"""
"""Technology""","""Тэхналогія"""
"""Online""","""Падключана"""
"""Device Information""","""Звесткі аб прыладзе"""
"""Device History""","""Журнал прылады"""
"""Device Profile""","""Профіль прылады"""
"""Time elapsed""","""Час"""
"""Power""","""Сілкаванне"""
"""Cell charge""","""Зарад ячэйкі"""
"""Predicted time""","""Прадказаны час"""
"""Correction factor""","""Карэкцыя"""
"""Prediction accuracy""","""Дакладнасць прадказання"""
"""Show extra debugging information""","""Паказваць дадатковую адладачную інфармацыю"""
"""Select this device at startup""","""Выбраць гэтую прыладу пасля запуску"""
"""Details""","""Падрабязнасці"""
"""Graph type:""","""Тып графіка:"""
"""Data length:""","""Працягласць даных:"""
"""There is no data to display.""","""Няма даных для паказу."""
"""Use smoothed line""","""Выкарыстоўваць згладжванне"""
"""Show data points""","""Паказваць пункты даных"""
"""History""","""Гісторыя"""
"""Statistics""","""Статыстыка"""
